"municipio";"populacao"
"170035 Aliança do Tocantins";5610
"170040 Almas";7434
"170070 Alvorada";8489
"170100 Ananás";9838
"170105 Angico";3326
"170110 Aparecida do Rio Negro";4526
"170130 Aragominas";5895
"170190 Araguacema";6739
"170200 Araguaçu";8767
"170210 Araguaína";165810
"170215 Araguanã";5405
"170220 Araguatins";33700
"170230 Arapoema";6776
"170240 Arraias";10734
"170255 Augustinópolis";17251
"170270 Aurora do Tocantins";3627
"170290 Axixá do Tocantins";9601
"170300 Babaçulândia";10655
"170305 Bandeirantes do Tocantins";3353
"170307 Barra do Ouro";4383
"170310 Barrolândia";5540
"170320 Bernardo Sayão";4509
"170330 Bom Jesus do Tocantins";4321
"170360 Brasilândia do Tocantins";2150
"170370 Brejinho de Nazaré";5387
"170380 Buriti do Tocantins";10597
"170382 Cachoeirinha";2231
"170384 Campos Lindos";9129
"170386 Cariri do Tocantins";4083
"170388 Carmolândia";2462
"170389 Carrasco Bonito";3915
"170390 Caseara";5002
"170410 Centenário";2749
"170510 Chapada da Natividade";3341
"170460 Chapada de Areia";1383
"170550 Colinas do Tocantins";33273
"171670 Colméia";8528
"170555 Combinado";4807
"170560 Conceição do Tocantins";4196
"170600 Couto Magalhães";5329
"170610 Cristalândia";7343
"170625 Crixás do Tocantins";1653
"170650 Darcinópolis";5707
"170700 Dianópolis";20705
"170710 Divinópolis do Tocantins";6680
"170720 Dois Irmãos do Tocantins";7261
"170730 Dueré";4688
"170740 Esperantina";10274
"170755 Fátima";3863
"170765 Figueirópolis";5368
"170770 Filadélfia";8763
"170820 Formoso do Araguaia";18649
"170825 Fortaleza do Tabocão";2525
"170830 Goianorte";5090
"170900 Goiatins";12637
"170930 Guaraí";24703
"170950 Gurupi";82128
"170980 Ipueiras";1828
"171050 Itacajá";7336
"171070 Itaguatins";6025
"171090 Itapiratins";3684
"171110 Itaporã do Tocantins";2466
"171150 Jaú do Tocantins";3703
"171180 Juarina";2240
"171190 Lagoa da Confusão";11753
"171195 Lagoa do Tocantins";3924
"171200 Lajeado";2969
"171215 Lavandeira";1767
"171240 Lizarda";3776
"171245 Luzinópolis";2872
"171250 Marianópolis do Tocantins";4775
"171270 Mateiros";2457
"171280 Maurilândia do Tocantins";3314
"171320 Miracema do Tocantins";19824
"171330 Miranorte";13138
"171360 Monte do Carmo";7351
"171370 Monte Santo do Tocantins";2197
"171395 Muricilândia";3369
"171420 Natividade";9216
"171430 Nazaré";4219
"171488 Nova Olinda";11323
"171500 Nova Rosalândia";4036
"171510 Novo Acordo";4068
"171515 Novo Alegre";2334
"171525 Novo Jardim";2605
"171550 Oliveira de Fátima";1083
"172100 Palmas";263028
"171570 Palmeirante";5497
"171380 Palmeiras do Tocantins";6223
"171575 Palmeirópolis";7570
"171610 Paraíso do Tocantins";48029
"171620 Paranã";10509
"171630 Pau D'Arco";4760
"171650 Pedro Afonso";12596
"171660 Peixe";11123
"171665 Pequizeiro";5305
"171700 Pindorama do Tocantins";4532
"171720 Piraquê";3003
"171750 Pium";7206
"171780 Ponte Alta do Bom Jesus";4621
"171790 Ponte Alta do Tocantins";7653
"171800 Porto Alegre do Tocantins";2984
"171820 Porto Nacional";51469
"171830 Praia Norte";8098
"171840 Presidente Kennedy";3726
"171845 Pugmil";2541
"171850 Recursolândia";4049
"171855 Riachinho";4445
"171865 Rio da Conceição";1922
"171870 Rio dos Bois";2719
"171875 Rio Sono";6429
"171880 Sampaio";4293
"171884 Sandolândia";3387
"171886 Santa Fé do Araguaia";7089
"171888 Santa Maria do Tocantins";3172
"171889 Santa Rita do Tocantins";2260
"171890 Santa Rosa do Tocantins";4740
"171900 Santa Tereza do Tocantins";2708
"172000 Santa Terezinha do Tocantins";2529
"172010 São Bento do Tocantins";4986
"172015 São Félix do Tocantins";1521
"172020 São Miguel do Tocantins";11363
"172025 São Salvador do Tocantins";3022
"172030 São Sebastião do Tocantins";4569
"172049 São Valério";4243
"172065 Silvanópolis";5279
"172080 Sítio Novo do Tocantins";9192
"172085 Sucupira";1864
"172090 Taguatinga";15965
"172093 Taipas do Tocantins";2060
"172097 Talismã";2696
"172110 Tocantínia";7181
"172120 Tocantinópolis";22997
"172125 Tupirama";1736
"172130 Tupiratins";2381
"172208 Wanderlândia";11427
"172210 Xambioá";11644
"210005 Açailândia";109019
"210010 Afonso Cunha";6251
"210015 Água Doce do Maranhão";12159
"210020 Alcântara";22026
"210030 Aldeias Altas";25388
"210040 Altamira do Maranhão";7816
"210043 Alto Alegre do Maranhão";26570
"210047 Alto Alegre do Pindaré";31796
"210050 Alto Parnaíba";11080
"210055 Amapá do Maranhão";6744
"210060 Amarante do Maranhão";39944
"210070 Anajatuba";25862
"210080 Anapurus";14906
"210083 Apicum-Açu";16362
"210087 Araguanã";14787
"210090 Araioses";44763
"210095 Arame";32384
"210100 Arari";29426
"210110 Axixá";11863
"210120 Bacabal";102909
"210125 Bacabeira";16056
"210130 Bacuri";18213
"210135 Bacurituba";5512
"210140 Balsas";89602
"210150 Barão de Grajaú";18290
"210160 Barra do Corda";86002
"210170 Barreirinhas";59039
"210177 Bela Vista do Maranhão";10855
"210173 Belágua";7169
"210180 Benedito Leite";5605
"210190 Bequimão";21182
"210193 Bernardo do Mearim";5889
"210197 Boa Vista do Gurupi";7696
"210200 Bom Jardim";40658
"210203 Bom Jesus das Selvas";31295
"210207 Bom Lugar";15568
"210210 Brejo";35109
"210215 Brejo de Areia";10078
"210220 Buriti";28071
"210230 Buriti Bravo";23603
"210232 Buriticupu";69192
"210235 Buritirana";15243
"210237 Cachoeira Grande";9191
"210240 Cajapió";10977
"210250 Cajari";19016
"210255 Campestre do Maranhão";13974
"210260 Cândido Mendes";19671
"210270 Cantanhede";21379
"210275 Capinzal do Norte";10926
"210280 Carolina";24251
"210290 Carutapera";23069
"210300 Caxias";161608
"210310 Cedral";10585
"210312 Central do Maranhão";8331
"210315 Centro do Guilherme";12386
"210317 Centro Novo do Maranhão";20513
"210320 Chapadinha";77037
"210325 Cidelândia";14295
"210330 Codó";121555
"210340 Coelho Neto";48493
"210350 Colinas";40500
"210355 Conceição do Lago-Açu";15413
"210360 Coroatá";64038
"210370 Cururupu";33042
"210375 Davinópolis";12871
"210380 Dom Pedro";23241
"210390 Duque Bacelar";11086
"210400 Esperantinópolis";17932
"210405 Estreito";39000
"210407 Feira Nova do Maranhão";8349
"210408 Fernando Falcão";9851
"210409 Formosa da Serra Negra";18231
"210410 Fortaleza dos Nogueiras";12552
"210420 Fortuna";17653
"210430 Godofredo Viana";11089
"210440 Gonçalves Dias";17885
"210450 Governador Archer";10607
"210455 Governador Edison Lobão";17159
"210460 Governador Eugênio Barros";14368
"210462 Governador Luiz Rocha";7635
"210465 Governador Newton Bello";10332
"210467 Governador Nunes Freire";25769
"210470 Graça Aranha";6265
"210480 Grajaú";66187
"210490 Guimarães";12195
"210500 Humberto de Campos";27627
"210510 Icatu";26319
"210515 Igarapé do Meio";13427
"210520 Igarapé Grande";10981
"210530 Imperatriz";255361
"210535 Itaipava do Grajaú";15054
"210540 Itapecuru Mirim";65565
"210542 Itinga do Maranhão";25659
"210545 Jatobá";9357
"210547 Jenipapo dos Vieiras";16524
"210550 João Lisboa";24128
"210560 Joselândia";16011
"210565 Junco do Maranhão";4747
"210570 Lago da Pedra";48494
"210580 Lago do Junco";10685
"210594 Lago dos Rodrigues";8955
"210590 Lago Verde";15968
"210592 Lagoa do Mato";11175
"210596 Lagoa Grande do Maranhão";11032
"210598 Lajeado Novo";7284
"210600 Lima Campos";11765
"210610 Loreto";11865
"210620 Luís Domingues";6783
"210630 Magalhães de Almeida";18797
"210632 Maracaçumé";20428
"210635 Marajá do Sena";7882
"210637 Maranhãozinho";15011
"210640 Mata Roma";16080
"210650 Matinha";22804
"210660 Matões";32964
"210663 Matões do Norte";15282
"210667 Milagres do Maranhão";8366
"210670 Mirador";20939
"210675 Miranda do Norte";26489
"210680 Mirinzal";14715
"210690 Monção";32274
"210700 Montes Altos";9406
"210710 Morros";18730
"210720 Nina Rodrigues";13504
"210725 Nova Colinas";5165
"210730 Nova Iorque";4684
"210735 Nova Olinda do Maranhão";20161
"210740 Olho d'Água das Cunhãs";19220
"210745 Olinda Nova do Maranhão";14017
"210750 Paço do Lumiar";114343
"210760 Palmeirândia";19418
"210770 Paraibano";20910
"210780 Parnarama";34392
"210790 Passagem Franca";18419
"210800 Pastos Bons";18906
"210805 Paulino Neves";15368
"210810 Paulo Ramos";20912
"210820 Pedreiras";39421
"210825 Pedro do Rosário";24079
"210830 Penalva";37143
"210840 Peri Mirim";14184
"210845 Peritoró";22342
"210850 Pindaré-Mirim";32313
"210860 Pinheiro";81408
"210870 Pio XII";22027
"210880 Pirapemas";18140
"210890 Poção de Pedras";19287
"210900 Porto Franco";22837
"210905 Porto Rico do Maranhão";6074
"210910 Presidente Dutra";46626
"210920 Presidente Juscelino";12211
"210923 Presidente Médici";6736
"210927 Presidente Sarney";18151
"210930 Presidente Vargas";10849
"210940 Primeira Cruz";14727
"210945 Raposa";28650
"210950 Riachão";20617
"210955 Ribamar Fiquene";7615
"210960 Rosário";41454
"210970 Sambaíba";5633
"210975 Santa Filomena do Maranhão";7503
"210980 Santa Helena";40339
"210990 Santa Inês";86784
"211000 Santa Luzia";71541
"211003 Santa Luzia do Paruá";24657
"211010 Santa Quitéria do Maranhão";25025
"211020 Santa Rita";35609
"211023 Santana do Maranhão";12572
"211027 Santo Amaro do Maranhão";14891
"211030 Santo Antônio dos Lopes";14559
"211040 São Benedito do Rio Preto";18391
"211050 São Bento";43218
"211060 São Bernardo";27693
"211065 São Domingos do Azeitão";7247
"211070 São Domingos do Maranhão";34336
"211080 São Félix de Balsas";4703
"211085 São Francisco do Brejão";11071
"211090 São Francisco do Maranhão";12166
"211100 São João Batista";20483
"211102 São João do Carú";15909
"211105 São João do Paraíso";11101
"211107 São João do Soter";18023
"211110 São João dos Patos";25588
"211120 São José de Ribamar";170884
"211125 São José dos Basílios";7646
"211130 São Luís";1065927
"211140 São Luís Gonzaga do Maranhão";19512
"211150 São Mateus do Maranhão";40521
"211153 São Pedro da Água Branca";12464
"211157 São Pedro dos Crentes";4585
"211160 São Raimundo das Mangabeiras";18302
"211163 São Raimundo do Doca Bezerra";5774
"211167 São Roberto";6368
"211170 São Vicente Ferrer";21725
"211172 Satubinha";12994
"211174 Senador Alexandre Costa";10772
"211176 Senador La Rocque";14482
"211178 Serrano do Maranhão";10022
"211180 Sítio Novo";17682
"211190 Sucupira do Norte";10649
"211195 Sucupira do Riachão";5582
"211200 Tasso Fragoso";8211
"211210 Timbiras";28824
"211220 Timon";163451
"211223 Trizidela do Vale";21426
"211227 Tufilândia";5770
"211230 Tuntum";40784
"211240 Turiaçu";35073
"211245 Turilândia";24357
"211250 Tutóia";56127
"211260 Urbano Santos";31406
"211270 Vargem Grande";53176
"211280 Viana";51387
"211285 Vila Nova dos Martírios";12349
"211290 Vitória do Mearim";32270
"211300 Vitorino Freire";31530
"211400 Zé Doca";50496
"220005 Acauã";6988
"220010 Agricolândia";5183
"220020 Água Branca";17099
"220025 Alagoinha do Piauí";7577
"220027 Alegrete do Piauí";4899
"220030 Alto Longá";14121
"220040 Altos";40097
